Category,sub1,sub2,sub3,Role,Range,Display Role,Exp
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),MNC Banks,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_MNC_Banks,75 - 90,"Director in Private Banking, Corporate Banking (Sales Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),MNC Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_MNC_Banks,100 - 200,"Managing Dir. in Private Banking, Corporate Banking (Sales Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),Domestic Banks,Associate_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_Domestic_Banks,20 - 35,"Associate in Private Banking, Corporate Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),Domestic Banks,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_Domestic_Banks,40 - 60,"VP in Private Banking, Corporate Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),Domestic Banks,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_Domestic_Banks,65 - 85,"Director in Private Banking, Corporate Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),Domestic Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_Domestic_Banks,100 - 150,"Managing Dir. in Private Banking, Corporate Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),NBFCs,Associate_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_NBFCs,18 - 30,"Associate in Private Banking, Corporate Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),NBFCs,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_NBFCs,35 - 50,"VP in Private Banking, Corporate Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),NBFCs,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_NBFCs,55 - 70,"Director in Private Banking, Corporate Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),NBFCs,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_NBFCs,80 - 120,"Managing Dir. in Private Banking, Corporate Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),MNC Banks,AVP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_MNC_Banks,18 - 28,"AVP in Private Banking, Corporate Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),MNC Banks,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_MNC_Banks,30 - 80,"VP in Private Banking, Corporate Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),MNC Banks,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_MNC_Banks,70 - 110,"Director in Private Banking, Corporate Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),MNC Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_MNC_Banks,100 - 180,"Managing Dir. in Private Banking, Corporate Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),Domestic Banks,AVP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_Domestic_Banks,16 - 25,"AVP in Private Banking, Corporate Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),Domestic Banks,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_Domestic_Banks,30 - 65,"VP in Private Banking, Corporate Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),Domestic Banks,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_Domestic_Banks,55 - 100,"Director in Private Banking, Corporate Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),Domestic Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_Domestic_Banks,100 - 180,"Managing Dir. in Private Banking, Corporate Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),NBFCs,AVP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_NBFCs,18 - 30,"AVP in Private Banking, Corporate Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),NBFCs,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_NBFCs,28 - 45,"VP in Private Banking, Corporate Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),NBFCs,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_NBFCs,50 - 90,"Director in Private Banking, Corporate Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Risk Function),NBFCs,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Risk_Function)_NBFCs,80 - 180,"Managing Dir. in Private Banking, Corporate Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),MNC Banks,AVP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_MNC_Banks,17 - 25,"AVP in Private Banking, Corporate Banking (Product Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),MNC Banks,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_MNC_Banks,35 - 80,"VP in Private Banking, Corporate Banking (Product Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),MNC Banks,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_MNC_Banks,75 - 110,"Director in Private Banking, Corporate Banking (Product Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),MNC Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_MNC_Banks,120 - 225,"Managing Dir. in Private Banking, Corporate Banking (Product Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),Domestic Banks,AVP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_Domestic_Banks,14 - 22,"AVP in Private Banking, Corporate Banking (Product Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),Domestic Banks,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_Domestic_Banks,35 - 65,"VP in Private Banking, Corporate Banking (Product Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),Domestic Banks,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_Domestic_Banks,60 - 100,"Director in Private Banking, Corporate Banking (Product Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),Domestic Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_Domestic_Banks,100 - 225,"Managing Dir. in Private Banking, Corporate Banking (Product Function), Domestic Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),NBFCs / Fintech,AVP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_NBFCs___Fintech,16 - 26,"AVP in Private Banking, Corporate Banking (Product Function), NBFCs / Fintech",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),NBFCs / Fintech,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_NBFCs___Fintech,35 - 60,"VP in Private Banking, Corporate Banking (Product Function), NBFCs / Fintech",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),NBFCs / Fintech,Director_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_NBFCs___Fintech,60 - 100,"Director in Private Banking, Corporate Banking (Product Function), NBFCs / Fintech",
Banking & Financial Services,Private Banking,Corporate Banking (Product Function),NBFCs / Fintech,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Product_Function)_NBFCs___Fintech,100 - 180,"Managing Dir. in Private Banking, Corporate Banking (Product Function), NBFCs / Fintech",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),MNC Banks,AVP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_MNC_Banks,25 - 45,"AVP in Private Banking, Commercial Banking (Sales Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),MNC Banks,VP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_MNC_Banks,50 - 75,"VP in Private Banking, Commercial Banking (Sales Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),MNC Banks,Director_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_MNC_Banks,75 - 90,"Director in Private Banking, Commercial Banking (Sales Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),MNC Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_MNC_Banks,100 - 200,"Managing Dir. in Private Banking, Commercial Banking (Sales Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),Domestic Banks,AVP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_Domestic_Banks,20 - 35,"AVP in Private Banking, Commercial Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),Domestic Banks,VP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_Domestic_Banks,40 - 60,"VP in Private Banking, Commercial Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),Domestic Banks,Director_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_Domestic_Banks,65 - 85,"Director in Private Banking, Commercial Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),Domestic Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_Domestic_Banks,100 - 150,"Managing Dir. in Private Banking, Commercial Banking (Sales Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),NBFCs,AVP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_NBFCs,18 - 30,"AVP in Private Banking, Commercial Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),NBFCs,VP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_NBFCs,35 - 50,"VP in Private Banking, Commercial Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),NBFCs,Director_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_NBFCs,55 - 70,"Director in Private Banking, Commercial Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Commercial Banking (Sales Function),NBFCs,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Sales_Function)_NBFCs,80 - 120,"Managing Dir. in Private Banking, Commercial Banking (Sales Function), NBFCs",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),MNC Banks,AVP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_MNC_Banks,Dec-28,"AVP in Private Banking, Commercial Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),MNC Banks,VP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_MNC_Banks,35 - 75,"VP in Private Banking, Commercial Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),MNC Banks,Director_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_MNC_Banks,70 - 100,"Director in Private Banking, Commercial Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),MNC Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_MNC_Banks,100 - 200,"Managing Dir. in Private Banking, Commercial Banking (Risk Function), MNC Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),Domestic Banks,AVP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_Domestic_Banks,Dec-25,"AVP in Private Banking, Commercial Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),Domestic Banks,VP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_Domestic_Banks,40 - 55,"VP in Private Banking, Commercial Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),Domestic Banks,Director_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_Domestic_Banks,55 - 90,"Director in Private Banking, Commercial Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),Domestic Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_Domestic_Banks,90 - 200,"Managing Dir. in Private Banking, Commercial Banking (Risk Function), Domestic Banks",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),NBFCs,AVP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_NBFCs,Dec-20,"AVP in Private Banking, Commercial Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),NBFCs,VP_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_NBFCs,38 - 55,"VP in Private Banking, Commercial Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),NBFCs,Director_Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_NBFCs,45 - 75,"Director in Private Banking, Commercial Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,Commercial Banking (Risk Function),NBFCs,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Commercial_Banking_(Risk_Function)_NBFCs,75 - 120,"Managing Dir. in Private Banking, Commercial Banking (Risk Function), NBFCs",
Banking & Financial Services,Private Banking,BFSI - Finance,Chief Financial Officer,Director_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Chief_Financial_Officer,100 - 200,"Director in Private Banking, BFSI - Finance, Chief Financial Officer",
Banking & Financial Services,Private Banking,BFSI - Finance,Financial Controller,AVP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Financial_Controller,35 - 45,"AVP in Private Banking, BFSI - Finance, Financial Controller",
Banking & Financial Services,Private Banking,BFSI - Finance,Financial Controller,VP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Financial_Controller,45 - 65,"VP in Private Banking, BFSI - Finance, Financial Controller",
Banking & Financial Services,Private Banking,BFSI - Finance,Financial Controller,Director_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Financial_Controller,65 - 90,"Director in Private Banking, BFSI - Finance, Financial Controller",
Banking & Financial Services,Private Banking,BFSI - Finance,Tax Accountant,AVP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Tax_Accountant,15 - 25,"AVP in Private Banking, BFSI - Finance, Tax Accountant",
Banking & Financial Services,Private Banking,BFSI - Finance,Tax Accountant,VP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Tax_Accountant,25 - 35,"VP in Private Banking, BFSI - Finance, Tax Accountant",
Banking & Financial Services,Private Banking,BFSI - Finance,Tax Accountant,Director_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Tax_Accountant,35 - 50,"Director in Private Banking, BFSI - Finance, Tax Accountant",
Banking & Financial Services,Private Banking,BFSI - Finance,Regulatory / Financial Reporting,AVP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Regulatory___Financial_Reporting,20 - 35,"AVP in Private Banking, BFSI - Finance, Regulatory / Financial Reporting",
Banking & Financial Services,Private Banking,BFSI - Finance,Regulatory / Financial Reporting,VP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Regulatory___Financial_Reporting,35 - 50,"VP in Private Banking, BFSI - Finance, Regulatory / Financial Reporting",
Banking & Financial Services,Private Banking,BFSI - Finance,Regulatory / Financial Reporting,Director_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Regulatory___Financial_Reporting,55 - 70,"Director in Private Banking, BFSI - Finance, Regulatory / Financial Reporting",
Banking & Financial Services,Private Banking,BFSI - Finance,Business Finance / FP&A and MIS,AVP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Business_Finance___FPandA_and_MIS,20 - 35,"AVP in Private Banking, BFSI - Finance, Business Finance / FP&A and MIS",
Banking & Financial Services,Private Banking,BFSI - Finance,Business Finance / FP&A and MIS,VP_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Business_Finance___FPandA_and_MIS,35 - 50,"VP in Private Banking, BFSI - Finance, Business Finance / FP&A and MIS",
Banking & Financial Services,Private Banking,BFSI - Finance,Business Finance / FP&A and MIS,Director_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Business_Finance___FPandA_and_MIS,55 - 70,"Director in Private Banking, BFSI - Finance, Business Finance / FP&A and MIS",
Banking & Financial Services,Private Banking,BFSI - Finance,Treasury / Fund Raising,Director_Banking_and_Financial_Services_Private_Banking_BFSI_-_Finance_Treasury___Fund_Raising,75 - 100,"Director in Private Banking, BFSI - Finance, Treasury / Fund Raising",
Banking & Financial Services,"Tier 1 Audit, Compliance & Risk",MNC Banks & Captives,Internal Audit,"AVP_Banking_and_Financial_Services_Tier_1_Audit,_Compliance_and_Risk_MNC_Banks_and_Captives_Internal_Audit",22 - 32,"AVP in Tier 1 Audit, Compliance & Risk, MNC Banks & Captives, Internal Audit",
Banking & Financial Services,"Tier 1 Audit, Compliance & Risk",MNC Banks & Captives,Internal Audit,"VP_Banking_and_Financial_Services_Tier_1_Audit,_Compliance_and_Risk_MNC_Banks_and_Captives_Internal_Audit",32 - 60,"VP in Tier 1 Audit, Compliance & Risk, MNC Banks & Captives, Internal Audit",
Banking & Financial Services,"Tier 1 Audit, Compliance & Risk",MNC Banks & Captives,Internal Audit,"Director_Banking_and_Financial_Services_Tier_1_Audit,_Compliance_and_Risk_MNC_Banks_and_Captives_Internal_Audit",50 - 100,"Director in Tier 1 Audit, Compliance & Risk, MNC Banks & Captives, Internal Audit",
Banking & Financial Services,"Tier 1 Audit, Compliance & Risk",MNC Banks & Captives,Know Your Customer (KYC) / Anti Money Laundering (AML),"AVP_Banking_and_Financial_Services_Tier_1_Audit,_Compliance_and_Risk_MNC_Banks_and_Captives_Know_Your_Customer_(KYC)___Anti_Money_Laundering_(AML)",15 - 25,"AVP in Tier 1 Audit, Compliance & Risk, MNC Banks & Captives, Know Your Customer (KYC) / Anti Money Laundering (AML)",
Banking & Financial Services,"Tier 1 Audit, Compliance & Risk",MNC Banks & Captives,Know Your Customer (KYC) / Anti Money Laundering (AML),"VP_Banking_and_Financial_Services_Tier_1_Audit,_Compliance_and_Risk_MNC_Banks_and_Captives_Know_Your_Customer_(KYC)___Anti_Money_Laundering_(AML)",30 - 40,"VP in Tier 1 Audit, Compliance & Risk, MNC Banks & Captives, Know Your Customer (KYC) / Anti Money Laundering (AML)",
